,t,action,reward,header,description,image,B_action
0,1,0,0,0,0,0,
1,2,1,0,0,0,1,
2,3,2,0,0,1,0,
3,4,3,0,0,1,1,
4,5,4,1,1,0,0,
5,6,5,1,1,0,1,
6,7,6,0,1,1,0,
7,8,7,0,1,1,1,
8,9,4,0,1,0,0,
9,10,5,1,1,0,1,
10,11,0,0,0,0,0,
11,12,1,1,0,0,1,
12,13,2,0,0,1,0,
13,14,3,0,0,1,1,
14,15,6,1,1,1,0,
15,16,7,1,1,1,1,
16,17,5,1,1,0,1,
17,18,1,0,0,0,1,
18,19,4,1,1,0,0,
19,20,6,1,1,1,0,
20,21,7,0,1,1,1,
21,22,5,0,1,0,1,
22,23,4,1,1,0,0,
23,24,6,1,1,1,0,
24,25,4,0,1,0,0,
25,26,5,1,1,0,1,
26,27,6,1,1,1,0,
27,28,5,1,1,0,1,
28,29,6,0,1,1,0,
29,30,0,1,0,0,0,
30,31,2,0,0,1,0,
31,32,3,0,0,1,1,
32,33,0,0,0,0,0,
33,34,1,0,0,0,1,
34,35,7,1,1,1,1,
35,36,7,1,1,1,1,
36,37,4,0,1,0,0,
37,38,7,1,1,1,1,
38,39,5,1,1,0,1,
39,40,6,0,1,1,0,
40,41,7,1,1,1,1,
41,42,5,1,1,0,1,
42,43,7,1,1,1,1,
43,44,5,0,1,0,1,
44,45,7,1,1,1,1,
45,46,5,0,1,0,1,
46,47,0,0,0,0,0,
47,48,1,0,0,0,1,
48,49,4,1,1,0,0,
49,50,2,1,0,1,0,
50,51,2,0,0,1,0,
51,52,3,1,0,1,1,
52,53,3,1,0,1,1,
53,54,3,1,0,1,1,
54,55,3,0,0,1,1,
55,56,4,0,1,0,0,
56,57,6,1,1,1,0,
57,58,6,1,1,1,0,
58,59,7,1,1,1,1,
59,60,6,1,1,1,0,
60,61,7,1,1,1,1,
61,62,5,0,1,0,1,
62,63,6,1,1,1,0,
63,64,7,1,1,1,1,
64,65,6,1,1,1,0,
65,66,7,0,1,1,1,
66,67,6,0,1,1,0,
67,68,3,1,0,1,1,
68,69,3,1,0,1,1,
69,70,4,0,1,0,0,
70,71,3,1,0,1,1,
71,72,3,1,0,1,1,
72,73,0,0,0,0,0,
73,74,1,1,0,0,1,
74,75,1,0,0,0,1,
75,76,2,0,0,1,0,
76,77,3,1,0,1,1,
77,78,5,1,1,0,1,
78,79,3,0,0,1,1,
79,80,5,1,1,0,1,
80,81,7,1,1,1,1,
81,82,5,1,1,0,1,
82,83,6,1,1,1,0,
83,84,7,1,1,1,1,
84,85,5,1,1,0,1,
85,86,6,1,1,1,0,
86,87,7,0,1,1,1,
87,88,5,1,1,0,1,
88,89,6,1,1,1,0,
89,90,5,1,1,0,1,
90,91,6,0,1,1,0,
91,92,7,1,1,1,1,
92,93,5,0,1,0,1,
93,94,4,1,1,0,0,
94,95,4,1,1,0,0,
95,96,4,1,1,0,0,
96,97,4,0,1,0,0,
97,98,3,0,0,1,1,
98,99,1,0,0,0,1,
99,100,7,1,1,1,1,
100,101,6,1,1,1,0,
101,102,7,1,1,1,1,
102,103,5,1,1,0,1,
103,104,6,0,1,1,0,
104,105,7,1,1,1,1,
105,106,5,1,1,0,1,
106,107,7,1,1,1,1,
107,108,5,1,1,0,1,
108,109,0,0,0,0,0,
109,110,2,0,0,1,0,
110,111,7,1,1,1,1,
111,112,5,1,1,0,1,
112,113,7,1,1,1,1,
113,114,5,0,1,0,1,
114,115,3,0,0,1,1,
115,116,4,0,1,0,0,
116,117,6,0,1,1,0,
117,118,7,1,1,1,1,
118,119,5,1,1,0,1,
119,120,7,1,1,1,1,
120,121,5,1,1,0,1,
121,122,7,1,1,1,1,
122,123,5,1,1,0,1,
123,124,7,0,1,1,1,
124,125,5,0,1,0,1,
125,126,1,0,0,0,1,
126,127,6,1,1,1,0,
127,128,6,1,1,1,0,
128,129,6,0,1,1,0,
129,130,3,1,0,1,1,
130,131,3,1,0,1,1,
131,132,3,1,0,1,1,
132,133,3,0,0,1,1,
133,134,7,1,1,1,1,
134,135,5,1,1,0,1,
135,136,4,1,1,0,0,
136,137,4,1,1,0,0,
137,138,4,0,1,0,0,
138,139,7,0,1,1,1,
139,140,5,1,1,0,1,
140,141,0,0,0,0,0,
141,142,2,1,0,1,0,
142,143,2,1,0,1,0,
143,144,2,1,0,1,0,
144,145,2,1,0,1,0,
145,146,2,0,0,1,0,
146,147,7,1,1,1,1,
147,148,5,0,1,0,1,
148,149,2,1,0,1,0,
149,150,2,0,0,1,0,
150,151,6,1,1,1,0,
151,152,6,1,1,1,0,
152,153,6,1,1,1,0,
153,154,6,0,1,1,0,
154,155,7,1,1,1,1,
155,156,5,1,1,0,1,
156,157,7,0,1,1,1,
157,158,5,1,1,0,1,
158,159,7,1,1,1,1,
159,160,5,1,1,0,1,
160,161,3,0,0,1,1,
161,162,7,1,1,1,1,
162,163,5,1,1,0,1,
163,164,7,1,1,1,1,
164,165,5,0,1,0,1,
165,166,4,0,1,0,0,
166,167,1,0,0,0,1,
167,168,2,0,0,1,0,
168,169,7,1,1,1,1,
169,170,5,1,1,0,1,
170,171,6,1,1,1,0,
171,172,6,1,1,1,0,
172,173,6,1,1,1,0,
173,174,6,0,1,1,0,
174,175,7,1,1,1,1,
175,176,5,1,1,0,1,
176,177,7,1,1,1,1,
177,178,5,1,1,0,1,
178,179,7,0,1,1,1,
179,180,5,1,1,0,1,
180,181,7,1,1,1,1,
181,182,5,0,1,0,1,
182,183,3,1,0,1,1,
183,184,3,1,0,1,1,
184,185,3,1,0,1,1,
185,186,3,0,0,1,1,
186,187,0,1,0,0,0,
187,188,0,0,0,0,0,
188,189,4,1,1,0,0,
189,190,4,0,1,0,0,
190,191,7,1,1,1,1,
191,192,5,1,1,0,1,
192,193,7,1,1,1,1,
193,194,5,0,1,0,1,
194,195,6,0,1,1,0,
195,196,3,0,0,1,1,
196,197,2,0,0,1,0,
197,198,7,1,1,1,1,
198,199,5,0,1,0,1,
199,200,0,0,0,0,0,2.156064398312898
200,201,1,1,0,0,1,2.156599907561106
201,202,1,0,0,0,1,2.035954685849098
202,203,6,0,1,1,0,1.242142571616942
203,204,4,1,1,0,0,1.5530462781109744
204,205,4,1,1,0,0,1.5118974432193504
205,206,4,0,1,0,0,1.4741244392860657
