time,arm,reward
0,0,0
1,1,0
2,2,0
3,3,0
4,4,0
5,5,0
6,6,0
7,0,0
8,4,0
9,0,0
10,7,0
11,0,0
12,0,0
13,0,1
14,0,0
15,0,0
16,0,0
17,0,0
18,0,0
19,4,0
20,0,0
21,7,1
22,7,0
23,7,0
24,7,0
25,7,0
26,7,1
27,7,0
28,7,0
29,7,0
30,7,0
31,7,0
32,7,0
33,7,0
34,7,0
35,7,0
36,7,1
37,4,0
38,7,0
39,7,0
40,7,0
41,7,0
42,7,1
43,7,1
44,7,0
45,4,0
46,7,0
47,7,0
48,7,0
49,7,0
50,7,0
51,7,0
52,7,0
53,7,0
54,7,0
55,7,0
56,7,0
57,7,0
58,7,1
59,7,0
60,7,1
61,7,0
62,7,0
63,7,0
64,7,0
65,7,1
66,7,0
67,7,0
68,7,0
69,7,0
70,7,1
71,7,0
72,7,0
73,7,0
74,7,0
75,7,0
76,7,1
77,0,0
78,7,0
79,7,1
80,7,0
81,7,0
82,4,0
83,7,0
84,7,0
85,7,0
86,7,0
87,7,0
88,7,0
89,7,0
90,7,0
91,1,0
92,7,0
93,7,1
94,7,0
95,7,0
96,7,0
97,7,0
98,7,0
99,7,0
100,7,0
101,7,0
102,7,0
103,7,0
104,7,0
105,7,0
106,7,0
107,7,0
108,7,0
109,7,0
110,7,0
111,7,0
112,7,0
113,7,0
114,7,0
115,7,0
116,7,0
117,7,0
118,7,0
119,7,0
120,7,0
121,0,0
122,7,0
123,7,0
124,7,0
125,7,0
126,7,0
127,7,0
128,7,0
129,7,0
130,7,0
131,7,0
132,7,0
133,7,0
134,2,1
135,0,0
136,2,0
137,2,0
138,2,0
139,2,0
140,2,0
141,2,0
142,2,0
143,2,0
144,7,0
145,3,0
146,7,0
147,7,0
148,7,0
149,7,0
150,7,1
151,7,0
152,5,0
153,4,0
154,2,1
155,2,0
156,2,0
157,2,0
158,2,0
159,2,0
160,2,0
161,2,0
162,7,0
163,7,0
164,2,0
165,7,0
166,7,0
167,7,0
168,7,0
169,7,0
170,7,0
171,3,0
172,7,0
173,2,1
174,2,0
175,2,0
176,2,0
177,2,0
178,2,1
179,2,0
180,3,0
181,2,0
182,2,0
183,2,0
184,2,0
185,2,1
186,5,0
187,2,0
188,4,0
189,2,1
190,2,0
191,2,0
192,2,0
193,2,0
194,2,1
195,2,0
196,2,0
197,2,0
198,2,0
199,2,0
200,2,0
201,2,0
202,2,0
203,2,1
204,2,1
205,2,0
206,2,0
207,2,0
208,2,1
209,2,1
210,3,0
211,2,0
212,2,0
213,2,1
214,2,0
215,2,0
216,2,0
217,2,0
218,2,1
219,2,0
220,2,0
221,6,0
222,2,0
223,2,0
224,2,0
225,2,0
226,2,0
227,2,0
228,2,0
229,2,0
230,2,0
231,2,0
232,2,0
233,2,0
234,2,0
235,2,0
236,2,0
237,2,0
238,6,0
239,2,0
240,2,0
241,2,0
242,2,1
243,2,0
244,2,0
245,2,0
246,2,0
247,2,0
248,2,0
249,2,0
250,0,0
251,2,0
252,2,0
253,2,0
254,2,0
255,2,0
256,2,0
257,2,0
258,2,0
259,2,0
260,2,0
261,2,0
262,2,0
263,2,1
264,2,0
265,2,0
266,2,0
267,2,0
268,2,0
269,6,0
270,2,0
271,2,0
272,2,0
273,2,0
274,2,0
275,2,1
276,4,0
277,2,1
278,2,1
279,2,0
280,2,0
281,2,0
282,2,0
283,2,0
284,2,0
285,2,0
286,2,1
287,2,1
288,1,0
289,2,0
290,2,0
291,2,0
292,2,0
293,2,0
294,2,0
295,2,0
296,2,0
297,2,0
298,2,0
299,5,0
300,2,0
301,2,0
302,2,0
303,2,0
304,2,0
305,2,0
306,2,0
307,2,0
308,2,0
309,2,0
310,2,0
311,2,0
312,2,0
313,2,0
314,2,0
315,2,0
316,2,0
317,2,0
318,2,0
319,2,0
320,2,0
321,2,0
322,2,0
323,4,0
324,2,1
325,2,1
326,2,0
327,2,0
328,2,0
329,2,0
330,2,0
331,2,0
332,0,0
333,2,0
334,2,0
335,2,0
336,3,0
337,2,0
338,2,0
339,2,0
340,2,0
341,2,0
342,2,0
343,2,0
344,2,0
345,2,0
346,2,0
347,2,0
348,2,0
349,2,0
350,2,0
351,2,0
352,2,0
353,2,0
354,2,0
355,2,0
356,2,1
357,2,0
358,2,1
359,2,0
360,2,0
361,2,0
362,2,1
363,2,0
364,2,0
365,2,0
366,2,0
367,2,0
368,2,0
369,6,0
370,2,0
371,2,0
372,2,0
373,2,0
374,2,0
375,2,0
376,0,1
377,5,0
378,2,1
379,2,0
380,2,0
381,7,0
382,2,0
383,2,0
384,2,0
385,2,0
386,2,0
387,2,0
388,2,0
389,2,0
390,2,0
391,2,0
392,2,0
393,2,0
394,4,0
395,2,0
396,2,0
397,2,0
398,2,0
399,2,0
400,2,0
401,2,0
402,2,0
403,3,0
404,2,0
405,2,0
406,2,0
407,2,0
408,0,0
409,2,1
410,2,1
411,2,0
412,0,1
413,0,0
414,0,0
415,0,0
416,0,1
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,2,0
428,0,0
429,2,0
430,2,0
431,2,0
432,2,0
433,2,0
434,2,0
435,2,1
436,2,0
437,2,1
438,2,0
439,2,0
440,2,0
441,2,1
442,2,0
443,2,0
444,2,0
445,3,0
446,2,0
447,3,0
448,2,0
449,6,0
450,2,0
451,2,0
452,2,0
453,2,0
454,2,0
455,2,0
456,2,1
457,2,0
458,2,0
459,2,0
460,2,0
461,2,0
462,2,0
463,2,0
464,2,0
465,2,0
466,2,0
467,2,0
468,2,0
469,2,0
470,2,0
471,2,0
472,2,0
473,2,0
474,0,0
475,2,0
476,2,0
477,2,0
478,2,0
479,2,0
480,2,0
481,2,0
482,2,0
483,0,0
484,2,0
485,2,0
486,2,0
487,2,0
488,2,0
489,2,0
490,2,0
491,2,0
492,2,0
493,0,0
494,2,0
495,2,0
496,2,0
497,2,0
498,2,0
499,2,0
500,2,0
501,0,0
502,6,0
503,5,0
504,2,0
505,2,0
506,2,0
507,2,0
508,7,1
509,7,0
510,7,0
511,7,0
512,7,0
513,7,0
514,7,0
515,7,0
516,7,0
517,7,0
518,2,0
519,7,0
520,2,0
521,2,0
522,7,0
523,2,0
524,0,0
525,2,0
526,2,0
527,7,0
528,2,0
529,2,0
530,7,1
531,7,0
532,7,0
533,4,0
534,7,0
535,6,0
536,7,0
537,7,1
538,3,0
539,7,0
540,6,1
541,6,0
542,7,0
543,7,0
544,7,0
545,7,0
546,7,0
547,7,0
548,7,0
549,7,0
550,7,0
551,7,0
552,7,0
553,7,0
554,7,0
555,2,0
556,7,0
557,2,0
558,2,0
559,7,0
560,2,0
561,1,0
562,0,0
563,2,0
564,6,0
565,2,1
566,2,0
567,7,0
568,2,0
569,2,0
570,2,1
571,2,0
572,2,1
573,2,0
574,2,0
575,2,0
576,2,0
577,2,0
578,2,0
579,4,1
580,2,1
581,2,0
582,2,1
583,2,0
584,2,0
585,2,0
586,2,1
587,2,1
588,2,0
589,2,0
590,2,0
591,2,0
592,2,0
593,2,0
594,2,0
595,0,0
596,2,0
597,2,0
598,2,0
599,2,0
600,2,0
601,2,0
602,2,0
603,2,0
604,2,0
605,2,0
606,2,0
607,2,0
608,2,0
609,2,0
610,2,0
611,2,0
612,2,0
613,2,0
614,2,0
615,2,1
616,2,0
617,3,0
618,2,0
619,2,0
620,2,0
621,2,0
622,2,0
623,2,0
624,2,0
625,2,0
626,2,0
627,2,0
628,2,0
629,2,0
630,2,0
631,2,0
632,2,0
633,2,0
634,2,0
635,2,0
636,2,0
637,2,0
638,3,0
